book,lex,sp,vs,vt,ctyp,ptyp,gloss
1_Kings,ו,conj,,,WXQt,CP,and
1_Kings,ה,art,,,,NP,the
1_Kings,מלך,subs,,,,,king
1_Kings,דוד,nmpr,,,,,David
1_Kings,זקן,verb,qal,perf,,VP,be old
1_Kings,בוא,verb,qal,perf,ZQt0,VP,come
1_Kings,ב,prep,,,,PP,in
1_Kings,ה,art,,,,,the
1_Kings,יום,subs,,,,,day
1_Kings,ו,conj,,,Way0,CP,and
1_Kings,כסה,verb,piel,wayq,,VP,cover
1_Kings,ב,prep,,,,PP,in
1_Kings,ה,art,,,,,the
1_Kings,בגד,subs,,,,,garment
1_Kings,ו,conj,,,WxY0,CP,and
1_Kings,לא,nega,,,,NegP,not
1_Kings,חמם,verb,qal,impf,,VP,be hot
1_Kings,ל,prep,,,,PP,to
1_Kings,ו,conj,,,WayX,CP,and
1_Kings,אמר,verb,qal,wayq,,VP,say
1_Kings,ל,prep,,,,PP,to
1_Kings,עבד,subs,,,,NP,servant
1_Kings,בקשׁ,verb,piel,impf,ZYq0,VP,seek
1_Kings,ל,prep,,,,PP,to
1_Kings,אדון,subs,,,,,lord
1_Kings,ה,art,,,,,the
1_Kings,מלך,subs,,,,,king
1_Kings,נערה,subs,,,,NP,girl
1_Kings,בתולה,subs,,,,,virgin
1_Kings,ו,conj,,,WQt0,CP,and
1_Kings,עמד,verb,qal,perf,,VP,stand
1_Kings,ל,prep,,,,PP,to
1_Kings,פנה,subs,,,,,face
1_Kings,ה,art,,,,,the
1_Kings,מלך,subs,,,,,king
1_Kings,ו,conj,,,WYq0,CP,and
1_Kings,היה,verb,qal,impf,,VP,be
1_Kings,ל,prep,,,,PP,to
1_Kings,סכן,verb,qal,ptca,,NP,serve
1_Kings,ו,conj,,,WQt0,CP,and
1_Kings,שׁכב,verb,qal,perf,,VP,lie down
1_Kings,ב,prep,,,,PP,in
1_Kings,חיק,subs,,,,,lap
1_Kings,ו,conj,,,WQt0,CP,and
1_Kings,חמם,verb,qal,perf,,VP,be hot
1_Kings,ל,prep,,,,PP,to
1_Kings,אדון,subs,,,,,lord
1_Kings,ה,art,,,,,the
1_Kings,מלך,subs,,,,,king
1_Kings,ו,conj,,,Way0,CP,and
1_Kings,בקשׁ,verb,piel,wayq,,VP,seek
1_Kings,נערה,subs,,,,NP,girl
1_Kings,יפה,adjv,,,,,beautiful
1_Kings,ב,prep,,,,PP,in
1_Kings,כל,subs,,,,,whole
1_Kings,גבול,subs,,,,,boundary
1_Kings,ישׂראל,nmpr,,,,,Israel
1_Kings,ו,conj,,,Way0,CP,and
1_Kings,מצא,verb,qal,wayq,,VP,find
1_Kings,את,prep,,,,PP,<object marker>
1_Kings,אבישׁג,nmpr,,,,,Abishag
1_Kings,ה,art,,,,,the
1_Kings,שׁונמי,adjv,,,,,Shunammite
1_Kings,ו,conj,,,Way0,CP,and
1_Kings,בוא,verb,hif,wayq,,VP,come
