book,lex,sp,vs,vt,ctyp,ptyp,gloss
2_Chronicles,ו,conj,,,WayX,CP,and
2_Chronicles,חזק,verb,hit,wayq,,VP,be strong
2_Chronicles,שׁלמה,nmpr,,,,PrNP,Solomon
2_Chronicles,בן,subs,,,,,son
2_Chronicles,דוד,nmpr,,,,,David
2_Chronicles,על,prep,,,,PP,upon
2_Chronicles,מלכות,subs,,,,,kingship
2_Chronicles,ו,conj,,,NmCl,CP,and
2_Chronicles,יהוה,nmpr,,,,PrNP,YHWH
2_Chronicles,אלהים,subs,,,,,god(s)
2_Chronicles,עם,prep,,,,PP,with
2_Chronicles,ו,conj,,,Way0,CP,and
2_Chronicles,גדל,verb,piel,wayq,,VP,be strong
2_Chronicles,ל,prep,,,,PP,to
2_Chronicles,מעל,subs,,,,,top
2_Chronicles,ו,conj,,,WayX,CP,and
2_Chronicles,אמר,verb,qal,wayq,,VP,say
2_Chronicles,שׁלמה,nmpr,,,,PrNP,Solomon
2_Chronicles,ל,prep,,,,PP,to
2_Chronicles,כל,subs,,,,,whole
2_Chronicles,ישׂראל,nmpr,,,,,Israel
2_Chronicles,ל,prep,,,,,to
2_Chronicles,שׂר,subs,,,,,chief
2_Chronicles,ה,art,,,,,the
2_Chronicles,אלף,subs,,,,,thousand
2_Chronicles,ו,conj,,,,,and
2_Chronicles,ה,art,,,,,the
2_Chronicles,מאה,subs,,,,,hundred
2_Chronicles,ו,conj,,,,,and
2_Chronicles,ל,prep,,,,,to
2_Chronicles,ה,art,,,,,the
2_Chronicles,שׁפט,verb,qal,ptca,,,judge
2_Chronicles,ו,conj,,,,,and
2_Chronicles,ל,prep,,,,,to
2_Chronicles,כל,subs,,,,,whole
2_Chronicles,נשׂיא,subs,,,,,chief
2_Chronicles,ל,prep,,,,,to
2_Chronicles,כל,subs,,,,,whole
2_Chronicles,ישׂראל,nmpr,,,,,Israel
2_Chronicles,ראשׁ,subs,,,,,head
2_Chronicles,ה,art,,,,,the
2_Chronicles,אב,subs,,,,,father
2_Chronicles,ו,conj,,,WayX,CP,and
2_Chronicles,הלך,verb,qal,wayq,,VP,walk
2_Chronicles,שׁלמה,nmpr,,,,PrNP,Solomon
2_Chronicles,ו,conj,,,,,and
2_Chronicles,כל,subs,,,,,whole
2_Chronicles,ה,art,,,,,the
2_Chronicles,קהל,subs,,,,,assembly
2_Chronicles,עם,prep,,,,,with
2_Chronicles,ל,prep,,,,PP,to
2_Chronicles,ה,art,,,,,the
2_Chronicles,במה,subs,,,,,high place
2_Chronicles,אשׁר,conj,,,NmCl,CP,<relative>
2_Chronicles,ב,prep,,,,PP,in
2_Chronicles,גבעון,nmpr,,,,,Gibeon
2_Chronicles,כי,conj,,,xQtX,CP,that
2_Chronicles,שׁם,advb,,,,AdvP,there
2_Chronicles,היה,verb,qal,perf,,VP,be
2_Chronicles,אהל,subs,,,,NP,tent
2_Chronicles,מועד,subs,,,,,appointment
2_Chronicles,ה,art,,,,,the
2_Chronicles,אלהים,subs,,,,,god(s)
2_Chronicles,אשׁר,conj,,,xQtX,CP,<relative>
2_Chronicles,עשׂה,verb,qal,perf,,VP,make
2_Chronicles,משׁה,nmpr,,,,PrNP,Moses
2_Chronicles,עבד,subs,,,,,servant
2_Chronicles,יהוה,nmpr,,,,,YHWH
2_Chronicles,ב,prep,,,,PP,in
2_Chronicles,ה,art,,,,,the
2_Chronicles,מדבר,subs,,,,,desert
2_Chronicles,אבל,intj,,,xQtX,InjP,verily
2_Chronicles,ארון,subs,,,,NP,ark
2_Chronicles,ה,art,,,,,the
2_Chronicles,אלהים,subs,,,,,god(s)
2_Chronicles,עלה,verb,hif,perf,,VP,ascend
2_Chronicles,דוד,nmpr,,,,PrNP,David
2_Chronicles,מן,prep,,,,PP,from
2_Chronicles,קרית יערים,nmpr,,,,,Kiriath Jearim
2_Chronicles,ב,prep,,,xQtX,CP,in
2_Chronicles,ה,art,,,,,the
2_Chronicles,כון,verb,hif,perf,,VP,be firm
2_Chronicles,ל,prep,,,,PP,to
2_Chronicles,דוד,nmpr,,,,PrNP,David
2_Chronicles,כי,conj,,,xQt0,CP,that
2_Chronicles,נטה,verb,qal,perf,,VP,extend
2_Chronicles,ל,prep,,,,PP,to
2_Chronicles,אהל,subs,,,,NP,tent
2_Chronicles,ב,prep,,,,PP,in
2_Chronicles,ירושׁלם,nmpr,,,,,Jerusalem
2_Chronicles,ו,conj,,,WxQ0,CP,and
2_Chronicles,מזבח,subs,,,,NP,altar
2_Chronicles,ה,art,,,,,the
2_Chronicles,נחשׁת,subs,,,,,bronze
2_Chronicles,אשׁר,conj,,,xQtX,CP,<relative>
2_Chronicles,עשׂה,verb,qal,perf,,VP,make
2_Chronicles,בצלאל,nmpr,,,,PrNP,Bezalel
2_Chronicles,בן,subs,,,,,son
2_Chronicles,אורי,nmpr,,,,,Uri
2_Chronicles,בן,subs,,,,,son
2_Chronicles,חור,nmpr,,,,,Hur
2_Chronicles,שׂים,verb,qal,perf,WxQ0,VP,put
2_Chronicles,ל,prep,,,,PP,to
2_Chronicles,פנה,subs,,,,,face
2_Chronicles,משׁכן,subs,,,,,dwelling-place
2_Chronicles,יהוה,nmpr,,,,,YHWH
2_Chronicles,ו,conj,,,WayX,CP,and
2_Chronicles,דרשׁ,verb,qal,wayq,,VP,inquire
2_Chronicles,שׁלמה,nmpr,,,,PrNP,Solomon
2_Chronicles,ו,conj,,,,,and
2_Chronicles,ה,art,,,,,the
2_Chronicles,קהל,subs,,,,,assembly
2_Chronicles,ו,conj,,,WayX,CP,and
2_Chronicles,עלה,verb,hif,wayq,,VP,ascend
2_Chronicles,שׁלמה,nmpr,,,,PrNP,Solomon
2_Chronicles,שׁם,advb,,,,AdvP,there
2_Chronicles,על,prep,,,,PP,upon
2_Chronicles,מזבח,subs,,,,,altar
2_Chronicles,ה,art,,,,,the
