book,lex,sp,vs,vt,ctyp,ptyp,gloss
1_Samuel,ו,conj,,,WayX,CP,and
1_Samuel,היה,verb,qal,wayq,,VP,be
1_Samuel,אישׁ,subs,,,,NP,man
1_Samuel,אחד,subs,,,,,one
1_Samuel,מן,prep,,,,,from
1_Samuel,ה,art,,,,,the
1_Samuel,רמה,subs,,,,,high place
1_Samuel,צפה,verb,qal,ptca,,,look out
1_Samuel,מן,prep,,,,,from
1_Samuel,הר,subs,,,,,mountain
1_Samuel,אפרים,nmpr,,,,,Ephraim
1_Samuel,ו,conj,,,NmCl,CP,and
1_Samuel,שׁם,subs,,,,NP,name
1_Samuel,אלקנה,nmpr,,,,PrNP,Elkanah
1_Samuel,בן,subs,,,,,son
1_Samuel,ירחם,nmpr,,,,,Jeroham
1_Samuel,בן,subs,,,,,son
1_Samuel,אליהוא,nmpr,,,,,Elihu
1_Samuel,בן,subs,,,,,son
1_Samuel,תחו,nmpr,,,,,Tohu
1_Samuel,בן,subs,,,,,son
1_Samuel,צוף,nmpr,,,,,Zuph
1_Samuel,אפרתי,adjv,,,,,Ephrathite
1_Samuel,ו,conj,,,NmCl,CP,and
1_Samuel,ל,prep,,,,PP,to
1_Samuel,שׁנים,subs,,,,NP,two
1_Samuel,אשׁה,subs,,,,,woman
1_Samuel,שׁם,subs,,,NmCl,NP,name
1_Samuel,אחד,subs,,,,,one
1_Samuel,חנה,nmpr,,,,PrNP,Hannah
1_Samuel,ו,conj,,,NmCl,CP,and
1_Samuel,שׁם,subs,,,,NP,name
1_Samuel,ה,art,,,,,the
1_Samuel,שׁני,adjv,,,,,second
1_Samuel,פננה,nmpr,,,,PrNP,Peninnah
1_Samuel,ו,conj,,,MSyn,CP,and
1_Samuel,היה,verb,qal,wayq,,VP,be
1_Samuel,ל,prep,,,NmCl,PP,to
1_Samuel,פננה,nmpr,,,,,Peninnah
1_Samuel,ילד,subs,,,,NP,boy
1_Samuel,ו,conj,,,NmCl,CP,and
1_Samuel,ל,prep,,,,PP,to
1_Samuel,חנה,nmpr,,,,,Hannah
1_Samuel,אין,subs,,,,NegP,<NEG>
1_Samuel,ילד,subs,,,,NP,boy
1_Samuel,ו,conj,,,WQtX,CP,and
1_Samuel,עלה,verb,qal,perf,,VP,ascend
1_Samuel,ה,art,,,,NP,the
1_Samuel,אישׁ,subs,,,,,man
1_Samuel,ה,art,,,,,the
1_Samuel,הוא,prps,,,,,he
1_Samuel,מן,prep,,,,PP,from
1_Samuel,עיר,subs,,,,,town
1_Samuel,מן,prep,,,,PP,from
1_Samuel,יום,subs,,,,,day
1_Samuel,יום,subs,,,,,day
1_Samuel,ל,prep,,,InfC,VP,to
1_Samuel,חוה,verb,hsht,infc,,,bow down
1_Samuel,ו,conj,,,InfC,CP,and
1_Samuel,ל,prep,,,,VP,to
1_Samuel,זבח,verb,qal,infc,,,slaughter
1_Samuel,ל,prep,,,,PP,to
1_Samuel,יהוה,nmpr,,,,,YHWH
1_Samuel,צבא,subs,,,,,service
1_Samuel,ב,prep,,,,PP,in
