verse,sentence_node,speakers,type
Esther 7:6,1229321,author,description
Esther 7:7,1229322,author,description
Esther 7:7,1229323,author,description
Esther 7:7,1229324,author,description
Esther 7:8,1229325,author,description
Esther 7:8,1229326,author,description
Esther 7:8,1229327,author,description
Esther 7:8,1229329,author,description
Esther 7:8,1229330,author,description
Esther 7:9,1229331,author,description
Esther 7:9,1229334,author,description
Esther 7:10,1229336,author,description
Esther 7:10,1229337,author,description
Esther 8:1,1229338,author,description
Esther 8:1,1229339,author,description
Esther 8:1,1229340,author,description
Esther 8:2,1229341,author,description
Esther 8:2,1229342,author,description
Esther 8:2,1229343,author,description
Esther 8:3,1229344,author,description
Esther 8:3,1229345,author,description
Esther 8:3,1229346,author,description
Esther 8:3,1229347,author,description
Esther 8:3,1229348,author,description
Esther 8:4,1229349,author,description
Esther 8:4,1229350,author,description
Esther 8:4,1229351,author,description
Esther 8:5,1229352,author,description
Esther 8:7,1229362,author,description
Esther 8:9,1229368,author,description
Esther 8:9,1229369,author,description
Esther 8:9,1229370,author,description
Esther 8:10,1229372,author,description
Esther 8:10,1229373,author,description
Esther 8:12,1229374,author,description
Esther 8:13,1229375,author,description
Esther 8:14,1229376,author,description
Esther 8:14,1229377,author,description
Esther 8:15,1229378,author,description
Esther 8:15,1229379,author,description
Esther 8:15,1229380,author,description
Esther 8:16,1229381,author,description
Esther 8:17,1229382,author,description
Esther 8:17,1229383,author,description
Esther 8:17,1229384,author,description
Esther 9:1,1229385,author,description
Esther 9:1,1229386,author,description
Esther 9:2,1229387,author,description
Esther 9:2,1229388,author,description
Esther 9:3,1229389,author,description
Esther 9:3,1229390,author,description
Esther 9:4,1229391,author,description
Esther 9:4,1229392,author,description
Esther 9:4,1229393,author,description
Esther 9:5,1229394,author,description
Esther 9:5,1229395,author,description
Esther 9:6,1229396,author,description
Esther 9:6,1229397,author,description
Esther 9:7-10,1229398,author,description
Esther 9:10,1229399,author,description
Esther 9:11,1229400,author,description
Esther 9:12,1229401,author,description
Esther 9:13,1229409,author,description
Esther 9:14,1229413,author,description
Esther 9:14,1229414,author,description
Esther 9:14,1229415,author,description
Esther 9:15,1229416,author,description
Esther 9:15,1229417,author,description
Esther 9:15,1229418,author,description
Esther 9:16,1229419,author,description
Esther 9:16,1229420,author,description
Esther 9:16,1229421,author,description
Esther 9:16,1229422,author,description
Esther 9:16,1229423,author,description
Esther 9:17,1229424,author,description
Esther 9:17,1229425,author,description
Esther 9:18,1229426,author,description
Esther 9:18,1229427,author,description
Esther 9:18,1229428,author,description
Esther 9:19,1229429,author,description
Esther 9:20,1229430,author,description
Esther 9:23,1229432,author,description
Esther 9:26,1229440,author,description
Esther 9:27,1229441,author,description
Esther 9:27,1229442,author,description
Esther 9:28,1229443,author,description
Esther 9:28,1229444,author,description
Esther 9:29,1229445,author,description
Esther 9:30-31,1229446,author,description
Esther 9:32,1229447,author,description
Esther 9:32,1229448,author,description
Esther 10:1,1229449,author,description
Esther 10:2,1229450,author,description
Esther 10:3,1229451,author,description
Esther 10:3,1229452,author,description
Esther 10:3,1229453,author,description
Esther 10:3,1229454,author,description
Esther 10:3,1229455,author,description
